latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,valuation_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-06-10,2520,冠德,TWSE,20,35.6,14.77,4.49,0.87,14.29,79.75,41.74,0.0,20.07,0.636,9.57,5.0,49.43,31.8716,11.7,39928.67,9908.76,1996.43,3519.74,4.96,1.76,30.0,強放量,1896.45,-35.0,1861.45,4.75,-0.09,8,0,0,0,34.64,0.0,,,,,,,0.0,19.01,-373,-106,0.85,19.86,未取得,0.0,19.86,0.0,0.0,0.0,0.0,0.0,0.0,19.86,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；強放量；接近區間高點；RSI過熱,19.86
2026-06-10,5876,上海商銀,TWSE,20,42.05,13.35,4.28,0.98,4.34,62.18,31.34,-1.75,8.8,5.622,11.6,5.0,69.4,40.4266,4.02,278139.32,13514.15,13906.97,15447.54,0.97,1.11,1.43,正常,20373.47,32614.41,52987.88,7.32,11.73,0,1,1,0,-1274.14,67.7,,,,,,,0.0,52.15,261,2,-0.07,52.08,未取得,0.0,52.08,0.0,0.0,0.0,0.0,0.0,0.0,52.08,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資增加；接近區間高點,52.08
2026-06-10,3010,華立,TWSE,20,128.5,13.7,4.12,1.41,-1.15,38.6,39.2,-10.76,5.33,1.928,-0.69,5.0,10.96,134.6245,-4.55,28647.65,1133.41,1432.38,1115.93,0.79,0.78,-6.04,正常,2845.89,-1186.67,1659.22,9.93,-4.14,0,1,0,3,-161.53,-96.0,,,,,,,0.0,7.65,-580,-1,2.02,9.67,未取得,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,9.67,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,9.67
2026-06-10,2606,裕民,TWSE,20,68.6,13.17,4.08,1.43,6.19,58.57,37.12,-6.03,11.36,4.916,7.71,5.0,14.3,67.9076,1.02,144795.75,5159.17,7239.79,5147.74,0.71,0.71,-8.07,正常,22693.97,-19197.0,3496.97,15.67,-13.26,0,3,3,0,-1607.71,80.0,,,,,,,0.0,4.43,-1741,-12,1.2,5.63,未取得,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,5.63,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,5.63
2026-06-10,2072,世紀風電,TWSE,20,182.0,13.93,3.89,1.5,6.12,58.26,52.44,-12.08,12.0,1.396,7.67,5.0,46.52,179.3123,1.5,15573.52,509.5,778.68,1162.93,0.65,1.49,3.75,放量,1145.23,325.0,1470.23,7.35,2.09,0,2,1,0,-72.82,100.0,,,,,,,0.0,31.98,,,0.0,31.98,未取得,0.0,31.98,0.0,0.0,0.0,0.0,0.0,0.0,31.98,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；放量,31.98
2026-06-10,2887,台新新光金,TWSE,20,28.9,14.17,3.81,1.27,25.11,74.4,51.52,-2.53,25.65,39.066,13.0,5.0,49.5,25.3738,13.9,3079240.08,111385.44,153962.0,151043.78,0.72,0.98,-3.62,正常,-32435.15,370448.94,338013.79,-1.05,12.03,0,1,3,0,-27334.71,18461.07,,,,,,,0.0,33.18,-1496,4379,0.13,33.31,未取得,0.0,33.31,0.0,0.0,0.0,0.0,0.0,0.0,33.31,,,,,,,,資料不足或法人與分點未同向,投信買超；融資下降,33.31
2026-06-10,8473,山林水,TWSE,20,50.3,17.65,3.74,1.29,46.43,69.05,72.78,-12.06,46.86,2.063,10.0,5.0,42.49,50.3045,-0.01,82028.06,3520.19,4101.4,5636.63,0.86,1.37,4.29,放量,3988.96,0.0,3988.96,4.86,0.0,3,0,0,0,918.12,0.0,,,,,,,0.0,25.62,290,649,-0.28,25.34,未取得,0.0,25.34,0.0,0.0,0.0,0.0,0.0,0.0,25.34,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；放量；波動偏高,25.34
2026-06-10,2883,凱基金,TWSE,20,28.2,15.84,3.55,1.41,27.6,81.48,57.52,-3.26,32.71,36.14,5.0,5.0,31.08,25.3718,11.15,2848795.59,202927.39,142439.78,317681.15,1.42,2.23,26.1,放量,-541474.16,564441.74,22967.58,-19.01,19.81,0,3,7,0,-92624.56,93764.1,,,,,,,0.0,8.14,5460,1929,-0.11,8.03,未取得,0.0,8.03,0.0,0.0,0.0,0.0,0.0,0.0,8.03,,,,,,,,資料不足或法人與分點未同向,投信買超；融資增加；放量；RSI過熱,8.03
2026-06-10,2027,大成鋼,TWSE,20,42.5,12.43,3.53,1.26,6.78,50.58,41.62,-5.03,11.55,13.455,4.07,5.0,25.43,41.8444,1.57,643092.29,21898.48,32154.61,26514.94,0.68,0.82,-6.63,正常,208323.06,-54775.0,153548.06,32.39,-8.52,11,0,0,3,11823.26,-8527.0,,,,,,,0.0,19.21,-2842,295,0.47,19.68,未取得,0.0,19.68,0.0,0.0,0.0,0.0,0.0,0.0,19.68,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,19.68
2026-06-10,5009,榮剛,TPEX,20,35.45,17.73,3.39,1.22,-5.47,49.55,45.22,-9.57,5.51,1.46,-3.28,5.0,15.73,36.3672,-2.52,80273.0,2798.0,4013.65,3609.2,0.7,0.9,-5.25,正常,1731.59,-49.0,1682.59,2.16,-0.06,2,0,0,0,1141.78,0.0,,,,,,,0.0,15.84,-647,-12,0.8,16.64,未取得,0.0,16.64,0.0,0.0,0.0,0.0,0.0,0.0,16.64,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,16.64
2026-06-10,5469,瀚宇博,TWSE,20,80.6,14.07,3.13,1.04,-0.74,47.98,39.44,-10.34,6.05,3.074,-0.44,5.0,25.18,84.0871,-4.15,73122.07,4051.13,3656.1,2878.16,1.11,0.79,-2.11,正常,3965.01,1105.87,5070.89,5.42,1.51,0,1,0,0,-32.82,0.0,,,,,,,0.0,21.17,-381,-23,0.51,21.68,未取得,0.0,21.68,0.0,0.0,0.0,0.0,0.0,0.0,21.68,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資下降,21.68
2026-06-10,2542,興富發,TWSE,20,45.45,13.98,8.8,1.74,5.33,59.68,31.2,-1.41,10.32,7.46,12.2,4.5,48.09,43.3076,4.95,344510.08,60906.37,17225.5,27713.5,3.54,1.61,30.0,強放量,-38262.59,61850.6,23588.01,-11.11,17.95,0,3,7,0,-2079.7,9021.0,,,,,,,0.0,16.98,2438,-261,-0.59,16.39,未取得,0.0,16.39,0.0,0.0,0.0,0.0,0.0,0.0,16.39,,,,,,,,資料不足或法人與分點未同向,投信買超；融資增加；強放量；接近區間高點,16.39
2026-06-10,2727,王品,TWSE,20,243.5,14.63,6.62,5.26,2.74,62.16,18.06,-3.75,6.8,1.151,5.64,4.5,54.35,237.8887,2.36,9673.1,494.23,483.65,637.2,1.02,1.32,5.34,放量,907.03,54.29,961.33,9.38,0.56,3,0,0,0,94.03,0.0,,,,,,,0.0,40.11,-137,2,1.43,41.54,未取得,0.0,41.54,0.0,0.0,0.0,0.0,0.0,0.0,41.54,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資下降；放量,41.54
2026-06-10,3005,神基,TWSE,20,104.0,12.76,6.53,2.77,0.48,55.0,31.22,-7.56,6.67,7.279,4.29,4.5,5.83,104.5547,-0.53,139239.62,5235.66,6961.98,5580.21,0.75,0.8,-6.15,正常,14414.62,-12767.63,1646.99,10.35,-9.17,2,0,0,3,130.44,-11.17,,,,,,,0.0,0.52,693,7,-0.4,0.12,未取得,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加,0.12
2026-06-10,3014,聯陽,TWSE,20,136.5,14.76,6.23,3.65,-1.8,38.96,41.68,-12.5,3.41,4.027,-1.08,4.5,6.5,145.576,-6.23,55320.26,1287.83,2766.01,2154.82,0.47,0.78,-9.95,量縮,2119.03,1233.33,3352.36,3.83,2.23,0,3,0,3,-400.37,-8.62,,,,,,,0.0,7.58,-258,1,0.47,8.05,未取得,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,8.05,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資下降,8.05
