snapshot_date,days,ranking_name,rank_no,stock_id,score,total_score,close,updated_at
2026-07-03,5,foreign_5d_revenue_growth,2,6023,113.26,93.17,101.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,3,2547,109.78,84.89,11.55,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,4,6526,96.83,78.81,706.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,5,9935,98.11,75.73,20.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,6,3227,82.7,72.95,235.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,7,4934,79.62,72.0,18.25,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,8,6163,70.89,71.85,48.35,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,9,6161,89.3,71.63,53.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,10,2543,63.25,70.74,39.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,11,1216,84.92,70.39,76.3,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,12,7547,62.46,70.29,58.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,13,6588,72.79,70.07,89.1,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,14,5263,74.67,69.21,99.4,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,15,8446,78.51,68.65,88.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,16,3188,73.72,68.53,24.45,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,17,8927,63.98,68.12,21.75,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,18,1303,110.71,67.62,197.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,19,1316,69.78,67.32,10.95,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,20,1608,91.04,66.44,34.8,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,21,8438,90.22,66.32,100.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,22,6576,73.51,65.52,83.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,23,3003,73.55,65.4,65.3,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,24,3489,73.97,65.07,24.25,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,25,7803,64.81,64.05,23.8,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,26,1533,78.41,63.52,37.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,27,5302,90.29,63.48,14.05,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,28,3313,77.28,63.25,12.4,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,29,1618,82.22,62.65,41.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,30,1785,105.42,62.61,156.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,31,6834,88.88,62.6,132.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,32,5508,66.02,62.57,57.6,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,33,6230,57.84,62.44,127.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,34,6922,81.12,61.93,186.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,35,6994,57.43,61.83,41.9,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,36,3266,61.45,61.7,13.6,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,37,2101,70.14,60.84,33.4,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,38,5533,67.71,60.65,14.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,39,2537,80.55,60.55,11.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,40,5278,52.54,59.99,24.7,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,41,3402,81.22,59.95,155.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,42,2646,60.53,59.94,21.3,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,43,5521,63.35,59.86,10.65,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,44,8076,73.95,59.8,26.0,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,45,6199,68.89,59.79,105.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,46,3071,70.74,59.74,32.85,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,47,2025,74.93,59.66,13.65,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,48,3088,86.66,59.63,146.5,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,49,3205,67.36,59.27,53.2,2026-07-05T15:35:29
2026-07-03,5,foreign_5d_revenue_growth,50,3073,50.89,59.22,22.6,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,1,2303,2.77,-15.57,170.5,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,2,2882,4.45,4.43,93.6,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,3,1314,53.73,23.59,9.88,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,4,2883,38.35,27.89,28.45,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,5,2881,8.69,5.37,121.0,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,6,1102,-10.19,-14.14,36.45,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,7,2353,28.56,25.25,32.9,2026-07-05T15:35:29
2026-07-03,5,foreign_buy,8,2887,108.78,75.73,34.15,2026-07-05T15:35:29
