latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,1446,宏和,TWSE,1,15.15,8.91,9.9,0.73,15.1575,-0.05,85.94,85.94,85.94,85.94,1.0,1.0,0.0,正常,19.0,0.0,19.0,22.11,0.0,1,0,0,0,19.0,0.0,,,,,,,0.0,40.0,-57,0,8.0,38.0,未取得,0.0,38.0,0.0,0.0,0.0,0.0,0.0,-10,38.0,2026-04,-35.66,-83.63,-64.09,,,,營收 2026-04，月增 -35.66%，年增 -83.63%，累計年增 -64.09%,外資買超；融資下降；營收 2026-04，月增 -35.66%，年增 -83.63%，累計年增 -64.09%,38.0
2026-05-18,1447,力鵬,TWSE,1,5.76,,0.0,0.64,5.7567,0.06,8256.91,8256.91,8256.91,8256.91,1.0,1.0,0.0,正常,1449.29,0.0,1449.29,17.55,0.0,1,0,0,0,1449.29,0.0,,,,,,,0.0,40.0,-88,0,1.07,47.28,未取得,0.0,47.28,0.0,0.0,0.0,0.0,0.0,6.21,47.28,2026-04,-15.82,27.79,19.42,,,,營收 2026-04，月增 -15.82%，年增 27.79%，累計年增 19.42%,外資買超；融資下降；營收 2026-04，月增 -15.82%，年增 27.79%，累計年增 19.42%,47.28
2026-05-18,1453,大將,TWSE,1,11.1,100.91,2.7,0.88,11.1776,-0.69,59.71,59.71,59.71,59.71,1.0,1.0,0.0,正常,12.0,0.0,12.0,20.1,0.0,1,0,0,0,12.0,0.0,,,,,,,0.0,40.0,1,0,-1.34,39.18,未取得,0.0,39.18,0.0,0.0,0.0,0.0,0.0,0.52,39.18,2026-04,0.0,1.61,1.41,,,,營收 2026-04，月增 0.0%，年增 1.61%，累計年增 1.41%,外資買超；融資增加；營收 2026-04，月增 0.0%，年增 1.61%，累計年增 1.41%,39.18
2026-05-18,1455,集盛,TWSE,1,8.05,,1.99,0.74,8.0071,0.54,469.45,469.45,469.45,469.45,1.0,1.0,0.0,正常,212.0,0.0,212.0,45.16,0.0,1,0,0,0,212.0,0.0,,,,,,,0.0,40.0,-67,0,8.0,44.97,未取得,0.0,44.97,0.0,0.0,0.0,0.0,0.0,-3.03,44.97,2026-04,12.38,-3.06,-24.77,,,,營收 2026-04，月增 12.38%，年增 -3.06%，累計年增 -24.77%,外資買超；融資下降；營收 2026-04，月增 12.38%，年增 -3.06%，累計年增 -24.77%,44.97
2026-05-18,1464,得力,TWSE,1,10.05,27.16,2.49,0.77,10.0495,0.0,712.4,712.4,712.4,712.4,1.0,1.0,0.0,正常,118.0,0.0,118.0,16.56,0.0,1,0,0,0,118.0,0.0,,,,,,,0.0,40.0,0,0,0.0,39.7,未取得,0.0,39.7,0.0,0.0,0.0,0.0,0.0,-0.3,39.7,2026-04,-0.2,6.49,-9.0,,,,營收 2026-04，月增 -0.2%，年增 6.49%，累計年增 -9.0%,外資買超；營收 2026-04，月增 -0.2%，年增 6.49%，累計年增 -9.0%,39.7
2026-05-18,1466,聚隆,TWSE,1,14.55,,1.37,1.03,14.4276,0.85,135.48,135.48,135.48,135.48,1.0,1.0,0.0,正常,68.0,0.0,68.0,50.19,0.0,1,0,0,0,68.0,0.0,,,,,,,0.0,40.0,-33,-1,7.78,41.13,未取得,0.0,41.13,0.0,0.0,0.0,0.0,0.0,-6.65,41.13,2026-04,-3.06,-17.51,-19.55,,,,營收 2026-04，月增 -3.06%，年增 -17.51%，累計年增 -19.55%,外資買超；融資下降；營收 2026-04，月增 -3.06%，年增 -17.51%，累計年增 -19.55%,41.13
2026-05-18,1470,大統新創,TWSE,1,22.3,25.63,2.91,1.94,22.4086,-0.48,2.11,2.11,2.11,2.11,1.0,1.0,0.0,正常,1.0,0.0,1.0,47.46,0.0,1,0,0,0,1.0,0.0,,,,,,,0.0,40.0,0,0,0.0,31.25,未取得,0.0,31.25,0.0,0.0,0.0,0.0,0.0,-8.75,31.25,2026-04,-26.3,-20.52,-12.87,,,,營收 2026-04，月增 -26.3%，年增 -20.52%，累計年增 -12.87%,外資買超；營收 2026-04，月增 -26.3%，年增 -20.52%，累計年增 -12.87%,31.25
2026-05-18,1471,首利,TWSE,1,10.2,,0.0,1.06,10.1808,0.19,339.03,339.03,339.03,339.03,1.0,1.0,0.0,正常,123.0,0.0,123.0,36.28,0.0,1,0,0,0,123.0,0.0,,,,,,,0.0,40.0,0,0,0.0,30.39,未取得,0.0,30.39,0.0,0.0,0.0,0.0,0.0,-9.61,30.39,2026-04,4.94,-52.38,-53.04,,,,營收 2026-04，月增 4.94%，年增 -52.38%，累計年增 -53.04%,外資買超；營收 2026-04，月增 4.94%，年增 -52.38%，累計年增 -53.04%,30.39
2026-05-18,1525,江申,TWSE,1,58.1,36.31,4.82,0.84,58.3075,-0.36,37.1,37.1,37.1,37.1,1.0,1.0,0.0,正常,8.0,0.0,8.0,21.56,0.0,1,0,0,0,8.0,0.0,,,,,,,0.0,40.0,11,0,-6.4,34.93,未取得,0.0,34.93,0.0,0.0,0.0,0.0,0.0,1.33,34.93,2026-04,1.34,4.35,2.44,,,,營收 2026-04，月增 1.34%，年增 4.35%，累計年增 2.44%,外資買超；融資增加；營收 2026-04，月增 1.34%，年增 4.35%，累計年增 2.44%,34.93
2026-05-18,1526,日馳,TWSE,1,14.7,,0.0,0.66,14.6121,0.6,80.09,80.09,80.09,80.09,1.0,1.0,0.0,正常,17.0,0.0,17.0,21.23,0.0,1,0,0,0,17.0,0.0,,,,,,,0.0,40.0,-11,0,8.0,38.19,未取得,0.0,38.19,0.0,0.0,0.0,0.0,0.0,-9.81,38.19,2026-04,-21.79,-22.19,-19.99,,,,營收 2026-04，月增 -21.79%，年增 -22.19%，累計年增 -19.99%,外資買超；融資下降；營收 2026-04，月增 -21.79%，年增 -22.19%，累計年增 -19.99%,38.19
2026-05-18,1533,車王電,TWSE,1,34.65,21.26,0.0,1.42,34.6812,-0.09,290.68,290.68,290.68,290.68,1.0,1.0,0.0,正常,48.63,0.0,48.63,16.73,0.0,1,0,0,0,48.63,0.0,,,,,,,0.0,40.0,4,0,-1.1,59.55,未取得,0.0,59.55,0.0,0.0,0.0,0.0,0.0,20.65,59.55,2026-04,2.09,72.77,65.36,,,,營收 2026-04，月增 2.09%，年增 72.77%，累計年增 65.36%,外資買超；融資增加；營收 2026-04，月增 2.09%，年增 72.77%，累計年增 65.36%,59.55
2026-05-18,1540,喬福,TWSE,1,21.25,22.85,4.71,1.21,21.0004,1.19,350.13,350.13,350.13,350.13,1.0,1.0,0.0,正常,78.15,0.0,78.15,22.32,0.0,1,0,0,0,78.15,0.0,,,,,,,0.0,40.0,-12,0,3.43,37.32,未取得,0.0,37.32,0.0,0.0,0.0,0.0,0.0,-6.11,37.32,2026-04,25.24,-24.12,-31.07,,,,營收 2026-04，月增 25.24%，年增 -24.12%，累計年增 -31.07%,外資買超；融資下降；營收 2026-04，月增 25.24%，年增 -24.12%，累計年增 -31.07%,37.32
2026-05-18,1563,巧新,TWSE,1,45.15,102.61,4.43,1.19,45.2275,-0.17,497.91,497.91,497.91,497.91,1.0,1.0,0.0,正常,103.0,0.0,103.0,20.69,0.0,1,0,0,0,103.0,0.0,,,,,,,0.0,40.0,6,0,-0.96,38.55,未取得,0.0,38.55,0.0,0.0,0.0,0.0,0.0,-0.49,38.55,2026-04,-11.93,5.74,-0.56,,,,營收 2026-04，月增 -11.93%，年增 5.74%，累計年增 -0.56%,外資買超；融資增加；營收 2026-04，月增 -11.93%，年增 5.74%，累計年增 -0.56%,38.55
2026-05-18,1587,吉茂,TWSE,1,28.55,69.63,1.75,1.42,28.4691,0.28,369.49,369.49,369.49,369.49,1.0,1.0,0.0,正常,169.0,0.0,169.0,45.74,0.0,1,0,0,0,169.0,0.0,,,,,,,0.0,40.0,-61,0,8.0,47.43,未取得,0.0,47.43,0.0,0.0,0.0,0.0,0.0,-0.57,47.43,2026-04,-15.85,-11.76,21.57,,,,營收 2026-04，月增 -15.85%，年增 -11.76%，累計年增 21.57%,外資買超；融資下降；營收 2026-04，月增 -15.85%，年增 -11.76%，累計年增 21.57%,47.43
2026-05-18,1616,億泰,TWSE,1,20.35,16.54,6.68,1.7,20.451,-0.49,483.54,483.54,483.54,483.54,1.0,1.0,0.0,正常,105.0,0.0,105.0,21.71,0.0,1,0,0,0,105.0,0.0,,,,,,,0.0,40.0,-70,-3,7.81,51.54,未取得,0.0,51.54,0.0,0.0,0.0,0.0,0.0,3.73,51.54,2026-04,6.85,8.53,8.58,,,,營收 2026-04，月增 6.85%，年增 8.53%，累計年增 8.58%,外資買超；融資下降；營收 2026-04，月增 6.85%，年增 8.53%，累計年增 8.58%,51.54
