latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,confluence_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,total_score
2026-04-27,2606,裕民,TWSE,20,60.4,61.4396,-1.69,78450.71,118.12,4076.56,4194.68,0.15,5.2,0,4,0,1,-290.45,-170.56,,,,,,,0.0,13.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,13.07
2026-04-27,6271,同欣電,TWSE,20,174.0,175.5032,-0.86,181429.86,424.71,3494.22,3918.93,0.23,1.93,1,0,0,1,307.73,-58.0,,,,,,,0.0,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,12.51
2026-04-27,8261,富鼎,TWSE,20,119.0,118.6107,0.33,82226.57,3680.07,59.0,3739.07,4.48,0.07,0,2,1,0,-525.0,100.0,,,,,,,0.0,17.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,17.27
2026-04-27,2101,南港,TWSE,20,33.05,35.6462,-7.28,48152.64,3637.12,34.0,3671.12,7.55,0.07,1,0,0,0,208.03,0.0,,,,,,,0.0,26.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,26.38
2026-04-27,3167,大量,TWSE,20,675.0,475.0629,42.09,58674.27,1681.52,1881.0,3562.52,2.87,3.21,4,0,0,7,144.95,-230.0,,,,,,,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,10.1
2026-04-27,4720,德淵,TWSE,20,27.15,22.9189,18.46,165424.82,3159.62,123.93,3283.54,1.91,0.07,4,0,1,0,251.8,25.49,,,,,,,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,12.1
2026-04-27,3645,達邁,TWSE,20,99.6,97.211,2.46,340192.52,2925.57,239.0,3164.57,0.86,0.07,1,0,5,0,419.6,2.0,,,,,,,0.0,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,23.14
2026-04-27,8464,億豐,TWSE,20,350.5,352.9849,-0.7,18463.56,2766.2,346.52,3112.72,14.98,1.88,2,0,0,3,239.28,-3.68,,,,,,,0.0,39.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,39.19
2026-04-27,5475,德宏,TPEX,20,308.5,289.8732,6.43,90551.0,1229.53,1839.0,3068.53,1.36,2.03,4,0,0,0,164.36,0.0,,,,,,,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,18.5
2026-04-27,2851,中再保,TWSE,20,30.2,30.3667,-0.55,41733.67,2935.46,66.0,3001.46,7.03,0.16,1,0,0,3,983.0,-2.0,,,,,,,0.0,20.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,20.72
2026-04-27,3532,台勝科,TWSE,20,182.0,170.3897,6.81,66869.36,272.92,2705.98,2978.9,0.41,4.05,2,0,0,0,59.5,0.0,,,,,,,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,18.5
2026-04-27,4991,環宇-KY,TPEX,20,570.0,575.9031,-1.03,30466.0,2058.54,744.19,2802.73,6.76,2.44,3,0,0,1,102.82,-2.0,,,,,,,0.0,36.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,36.48
2026-04-27,2472,立隆電,TWSE,20,169.0,160.2359,5.47,109913.18,1935.26,768.89,2704.14,1.76,0.7,0,2,6,0,-182.49,2.0,,,,,,,0.0,15.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,15.74
2026-04-27,3380,明泰,TWSE,20,35.3,39.1894,-9.92,182852.83,2667.79,4.0,2671.79,1.46,0.0,0,1,0,0,-607.0,0.0,,,,,,,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,5.09
2026-04-27,3533,嘉澤,TWSE,20,2710.0,2342.6602,15.68,35716.78,1405.7,1009.24,2414.93,3.94,2.83,4,0,0,1,243.83,-100.35,,,,,,,0.0,21.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,21.84
2026-04-27,3529,力旺,TPEX,20,4045.0,3364.0054,20.24,20959.0,1910.86,330.55,2241.41,9.12,1.58,4,0,0,4,388.81,-232.13,,,,,,,0.0,24.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,24.73
2026-04-27,8996,高力,TWSE,20,1070.0,995.2647,7.51,61981.11,1178.88,1034.0,2212.88,1.9,1.67,2,0,0,2,170.04,-20.0,,,,,,,0.0,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,9.83
2026-04-27,2820,華票,TWSE,20,16.85,16.9663,-0.69,20647.4,1947.68,259.0,2206.68,9.43,1.25,1,0,0,0,80.0,0.0,,,,,,,0.0,38.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,38.55
2026-04-27,2243,宏旭-KY,TWSE,20,24.95,22.6132,10.33,29028.1,2085.85,100.0,2185.85,7.19,0.34,1,0,6,0,150.0,1.0,,,,,,,0.0,31.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,31.76
2026-04-27,3376,新日興,TWSE,20,207.5,208.8994,-0.67,138434.97,729.06,1295.54,2024.61,0.53,0.94,0,2,1,0,-1089.62,120.0,,,,,,,0.0,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,9.06
2026-04-27,9802,鈺齊-KY,TWSE,20,73.9,76.9814,-4.0,24366.09,1979.36,13.0,1992.36,8.12,0.05,1,0,1,0,324.98,136.0,,,,,,,0.0,30.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,30.42
2026-04-27,3026,禾伸堂,TWSE,20,218.0,184.9068,17.9,182554.55,1672.35,252.08,1924.43,0.92,0.14,0,1,6,0,-49.5,3.0,,,,,,,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,9.52
2026-04-27,2467,志聖,TWSE,20,495.5,466.0551,6.32,71914.32,41.78,1880.01,1921.79,0.06,2.61,2,0,1,0,82.97,3.0,,,,,,,0.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,15.29
2026-04-27,6146,耕興,TPEX,20,221.5,211.1492,4.9,10966.0,1919.09,2.52,1921.61,17.5,0.02,0,2,0,0,-116.41,0.0,,,,,,,0.0,28.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,28.06
2026-04-27,2072,世紀風電,TWSE,20,173.5,181.4026,-4.36,14547.8,1278.99,607.0,1885.99,8.79,4.17,2,0,0,0,118.0,0.0,元大-中壢,648.0,182.43,永豐金-松山,-448.0,183.16,7.81,45.39,41.19,19.45,5.35,0.0,2.4,14.0,0.0,41.19,,,,,12.96,4.45,-4.9,外資與投信同買；前大買超分點約占成交 4.45%；收盤距區間均價 -4.36%；收盤距分點均價 -4.9%；連買：外2 / 投0,53.2
2026-04-27,1597,直得,TWSE,20,110.5,111.3182,-0.74,72567.68,1664.9,153.0,1817.9,2.29,0.21,1,0,6,0,49.0,2.0,,,,,,,0.0,27.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,27.62
2026-04-27,7734,印能科技,TPEX,20,3390.0,2646.9991,28.07,12058.0,220.52,1367.49,1588.01,1.83,11.34,1,0,4,0,14.84,247.0,元大,455.0,2628.77,群益金鼎,-147.0,2485.69,-0.08,47.19,34.88,19.75,4.53,-11.0,7.6,14.0,0.0,34.88,,,,,13.17,3.77,28.96,外資與投信同買；前大買超分點約占成交 3.77%；收盤距區間均價 28.07%；收盤距分點均價 28.96%；連買：外1 / 投4,47.11
2026-04-27,3131,弘塑,TPEX,20,2875.0,3118.1048,-7.8,21494.0,1494.85,7.72,1502.58,6.95,0.04,2,0,7,0,236.96,71.92,,,,,,,0.0,39.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,39.09
2026-04-27,2258,鴻華先進-創,TWSE,20,28.6,28.2184,1.35,19165.28,1476.64,2.0,1478.64,7.7,0.01,0,0,0,0,0.0,0.0,,,,,,,0.0,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,27.61
2026-04-27,6491,晶碩,TWSE,20,286.5,287.4114,-0.32,7653.02,1330.3,42.0,1372.3,17.38,0.55,4,0,0,0,46.0,0.0,富邦-中壢,686.0,287.23,福邦,-439.0,293.23,17.89,47.37,66.06,22.5,10.76,14.0,4.8,14.0,0.0,66.06,,,,,17.93,8.96,-0.25,外資與投信同買；前大買超分點約占成交 8.96%；收盤距區間均價 -0.32%；收盤距分點均價 -0.25%；連買：外4 / 投0,65.26
2026-04-27,1342,八貫,TWSE,20,92.1,94.147,-2.17,10594.17,1361.51,1.0,1362.51,12.85,0.01,0,2,0,0,-97.97,0.0,,,,,,,0.0,32.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,32.31
2026-04-27,6658,聯策,TWSE,20,121.5,88.0656,37.97,53371.9,1170.28,55.0,1225.28,2.19,0.1,4,0,0,0,248.48,0.0,,,,,,,0.0,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,10.48
2026-04-27,2420,新巨,TWSE,20,55.0,54.184,1.51,6212.63,1193.86,3.51,1197.37,19.22,0.06,7,0,0,0,4.87,0.0,美商高盛,317.0,54.08,富邦-台北,-153.0,54.85,14.89,48.14,62.62,22.5,6.12,14.0,6.0,14.0,0.0,62.62,,,,,19.27,5.1,1.7,外資與投信同買；前大買超分點約占成交 5.1%；收盤距區間均價 1.51%；收盤距分點均價 1.7%；連買：外7 / 投0,63.03
2026-04-27,3443,創意,TWSE,20,3955.0,2939.7617,34.53,45378.17,359.85,735.75,1095.6,0.79,1.62,3,0,0,2,82.17,-5.74,,,,,,,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,4.57
2026-04-27,7751,竑騰,TPEX,20,2645.0,2054.391,28.75,8497.0,222.06,778.0,1000.06,2.61,9.16,2,0,7,0,160.71,5.0,富邦,127.0,1994.3,華南永昌-古亭,-267.0,1934.08,-3.78,50.03,32.85,17.65,1.79,-11.0,10.4,14.0,0.0,32.85,,,,,11.77,1.49,32.63,外資與投信同買；前大買超分點約占成交 1.49%；收盤距區間均價 28.75%；收盤距分點均價 32.63%；連買：外2 / 投7,46.25
2026-04-27,6831,邁科,TWSE,20,489.0,453.6859,7.78,33417.74,834.66,124.06,958.72,2.5,0.37,1,0,0,0,137.05,0.0,,,,,,,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,10.22
2026-04-27,6023,元大期,TPEX,20,98.5,97.9837,0.53,4062.0,670.09,232.0,902.09,16.5,5.71,0,7,0,0,-18.0,0.0,台灣摩根士丹利,278.0,97.97,兆豐-復興,-310.0,98.15,14.4,42.28,58.71,22.5,8.21,14.0,0.0,14.0,0.0,58.71,,,,,22.21,6.84,0.54,外資與投信同買；前大買超分點約占成交 6.84%；收盤距區間均價 0.53%；收盤距分點均價 0.54%,56.68
2026-04-27,6782,視陽,TWSE,20,217.5,218.3568,-0.39,9340.91,869.69,12.0,881.69,9.31,0.13,1,0,0,0,28.0,0.0,,,,,,,0.0,34.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,34.49
2026-04-27,6568,宏觀,TPEX,20,249.5,234.3408,6.47,29653.0,688.55,175.0,863.55,2.32,0.59,0,1,1,0,-205.0,79.0,,,,,,,0.0,8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,8.95
