date,stock_id,name,market,observed_days,close,avg_price,volume_lot,foreign_net_lot,trust_net_lot,dealer_net_lot
2026-08-12,2382,廣達,TWSE,,325.5,324.1082,28857.09,636.24,1098.48,16.9
2026-08-13,2382,廣達,TWSE,,325.0,323.9816,19688.53,-4475.32,659.54,96.8
2026-08-14,2382,廣達,TWSE,,327.5,330.0455,44245.05,6634.02,147.61,-543.29
2026-08-17,2382,廣達,TWSE,,333.5,333.6537,30494.45,5525.0,-568.87,37.12
2026-08-18,2382,廣達,TWSE,,327.0,324.3497,15430.11,288.82,320.33,-234.0
2026-08-19,2382,廣達,TWSE,,331.0,327.4774,16525.26,3227.19,-291.17,-177.19
2026-07-23,6196,帆宣,TWSE,,543.0,537.6479,1212.67,127.69,32.0,-9.03
2026-07-24,6196,帆宣,TWSE,,526.0,531.4688,948.15,-30.03,2.0,-2.95
2026-07-27,6196,帆宣,TWSE,,510.0,509.1975,1564.03,-184.89,32.0,2.84
2026-07-28,6196,帆宣,TWSE,,474.5,479.8687,1325.52,249.14,1.0,-16.49
2026-07-29,6196,帆宣,TWSE,,447.0,443.5032,2410.44,326.9,69.0,-46.59
2026-07-30,6196,帆宣,TWSE,,436.0,445.5535,1267.07,20.61,2.0,4.52
2026-07-31,6196,帆宣,TWSE,,468.0,470.0422,2965.68,-440.35,9.0,34.35
2026-08-03,6196,帆宣,TWSE,,494.0,493.4583,1741.8,371.44,12.0,-5.6
2026-08-04,6196,帆宣,TWSE,,492.0,494.8631,1521.51,6.06,-101.65,3.56
2026-08-05,6196,帆宣,TWSE,,509.0,522.3134,2615.4,100.31,-0.35,45.12
2026-08-06,6196,帆宣,TWSE,,508.0,497.8444,1806.86,-42.07,98.0,7.42
2026-08-07,6196,帆宣,TWSE,,493.5,501.2545,1712.47,410.16,-458.0,0.89
2026-08-10,6196,帆宣,TWSE,,507.0,503.7151,1012.95,394.52,0.0,6.99
2026-08-11,6196,帆宣,TWSE,,510.0,505.255,882.7,-154.74,-0.23,-8.32
2026-08-12,6196,帆宣,TWSE,,499.0,502.4046,1189.3,-40.21,-183.0,-8.94
2026-08-13,6196,帆宣,TWSE,,511.0,515.4806,1627.94,834.9,-1.0,25.43
2026-08-14,6196,帆宣,TWSE,,510.0,513.0853,982.58,-73.69,-2.0,-3.04
2026-08-17,6196,帆宣,TWSE,,511.0,513.8143,1075.33,604.37,-423.0,22.01
2026-08-18,6196,帆宣,TWSE,,503.0,510.5347,1090.81,67.06,153.0,13.55
2026-08-19,6196,帆宣,TWSE,,500.0,504.216,838.78,39.66,134.0,-84.55
