latest_date,stock_id,name,market,close,1d_avg_price,close_vs_avg_pct,1d_volume_lot,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,chip_score
2026-04-17,6227,茂綸,TPEX,95.0,95.3562,-0.37,1261.16,172.8,0.0,172.8,13.7,0.0,1,0,0,0,172.8,0.0,38.96
2026-04-17,3073,天方能源,TPEX,27.0,26.5945,1.52,175.52,24.0,0.0,24.0,13.67,0.0,1,0,0,0,24.0,0.0,38.94
2026-04-17,6166,凌華,TWSE,73.8,73.1934,0.83,1951.51,265.08,0.0,265.08,13.58,0.0,1,0,0,0,265.08,0.0,38.87
2026-04-17,8080,泰霖,TPEX,28.8,28.9163,-0.4,22.08,3.0,0.0,3.0,13.59,0.0,1,0,0,0,3.0,0.0,38.87
2026-04-17,8908,欣雄,TPEX,41.75,41.6081,0.34,199.32,27.0,0.0,27.0,13.55,0.0,1,0,0,0,27.0,0.0,38.84
2026-04-17,1777,生泰,TPEX,72.1,71.3403,1.06,29.62,4.0,0.0,4.0,13.5,0.0,1,0,0,0,4.0,0.0,38.8
2026-04-17,1233,天仁,TWSE,29.5,29.3868,0.39,23.13,3.11,0.0,3.11,13.44,0.0,1,0,0,0,3.11,0.0,38.75
2026-04-17,4205,中華食,TPEX,77.4,77.3303,0.09,14.94,2.0,0.0,2.0,13.39,0.0,1,0,0,0,2.0,0.0,38.71
2026-04-17,2732,六角,TPEX,68.3,66.7345,2.35,149.65,19.98,0.0,19.98,13.35,0.0,1,0,0,0,19.98,0.0,38.68
2026-04-17,6151,晉倫,TPEX,35.55,35.2578,0.83,331.64,44.0,0.0,44.0,13.27,0.0,1,0,0,0,44.0,0.0,38.61
2026-04-17,8467,波力-KY,TWSE,155.0,156.317,-0.84,24.57,3.25,0.0,3.25,13.24,0.0,1,0,0,0,3.25,0.0,38.59
2026-04-17,6461,益得,TPEX,18.1,18.0654,0.19,128.53,17.0,0.0,17.0,13.23,0.0,1,0,0,0,17.0,0.0,38.58
2026-04-17,6834,天二科技,TWSE,37.3,37.5928,-0.78,850.68,112.43,0.0,112.43,13.22,0.0,1,0,0,0,112.43,0.0,38.57
2026-04-17,4566,時碩工業,TWSE,70.1,70.2943,-0.28,1453.35,191.45,0.0,191.45,13.17,0.0,1,0,0,0,191.45,0.0,38.54
2026-04-17,5324,士開,TPEX,12.0,11.9272,0.61,280.75,37.0,0.0,37.0,13.18,0.0,1,0,0,0,37.0,0.0,38.54
2026-04-17,2038,海光,TWSE,15.2,15.3007,-0.66,634.95,81.97,0.0,81.97,12.91,0.0,1,0,0,0,81.97,0.0,38.33
2026-04-17,2387,精元,TWSE,40.35,40.5833,-0.57,713.03,91.97,0.0,91.97,12.9,0.0,1,0,0,0,91.97,0.0,38.32
2026-04-17,6641,基士德-KY,TWSE,18.45,18.3732,0.42,31.71,4.09,0.0,4.09,12.9,0.0,1,0,0,0,4.09,0.0,38.32
2026-04-17,6198,瑞築,TPEX,21.7,21.6785,0.1,31.06,4.0,0.0,4.0,12.88,0.0,1,0,0,0,4.0,0.0,38.3
2026-04-17,9918,欣天然,TWSE,43.6,43.4404,0.37,92.65,11.89,0.0,11.89,12.84,0.0,1,0,0,0,11.89,0.0,38.27
2026-04-17,1434,福懋,TWSE,16.8,16.8517,-0.31,2202.86,185.37,28.0,213.37,8.41,1.27,1,0,1,0,185.37,28.0,38.26
2026-04-17,6431,光麗-KY,TWSE,21.3,21.0916,0.99,119.49,15.26,0.0,15.26,12.77,0.0,1,0,0,0,15.26,0.0,38.21
2026-04-17,4721,美琪瑪,TPEX,91.2,90.6907,0.56,4469.54,570.0,0.0,570.0,12.75,0.0,1,0,0,0,570.0,0.0,38.2
2026-04-17,2061,風青,TPEX,16.1,16.1588,-0.36,94.19,12.0,0.0,12.0,12.74,0.0,1,0,0,0,12.0,0.0,38.19
2026-04-17,2107,厚生,TWSE,26.05,26.0272,0.09,396.44,50.51,0.0,50.51,12.74,0.0,1,0,0,0,50.51,0.0,38.19
2026-04-17,6158,禾昌,TPEX,18.3,18.1414,0.87,79.13,10.0,0.0,10.0,12.64,0.0,1,0,0,0,10.0,0.0,38.11
2026-04-17,9931,欣高,TWSE,36.0,36.0982,-0.27,99.81,12.6,0.0,12.6,12.62,0.0,1,0,0,0,12.6,0.0,38.1
2026-04-17,6541,泰福-KY,TWSE,41.0,40.7407,0.64,281.08,35.22,0.0,35.22,12.53,0.0,1,0,0,0,35.22,0.0,38.02
2026-04-17,8433,弘帆,TPEX,58.3,58.0878,0.37,566.98,71.0,0.0,71.0,12.52,0.0,1,0,0,0,71.0,0.0,38.02
2026-04-17,1445,大宇,TWSE,13.1,13.1011,-0.01,50.6,6.32,0.0,6.32,12.49,0.0,1,0,0,0,6.32,0.0,37.99
2026-04-17,1713,國化,TWSE,48.25,48.3393,-0.18,174.26,21.75,0.0,21.75,12.48,0.0,1,0,0,0,21.75,0.0,37.99
2026-04-17,6426,統新,TWSE,227.0,223.765,1.45,2594.29,322.2,0.0,322.2,12.42,0.0,1,0,0,0,322.2,0.0,37.94
2026-04-17,1324,地球,TWSE,11.25,11.3035,-0.47,91.9,11.37,0.0,11.37,12.37,0.0,1,0,0,0,11.37,0.0,37.9
2026-04-17,7728,光焱科技,TPEX,815.0,833.2656,-2.19,380.48,47.08,0.0,47.08,12.37,0.0,1,0,0,0,47.08,0.0,37.9
2026-04-17,8103,瀚荃,TWSE,93.1,93.0987,0.0,2236.21,276.49,0.0,276.49,12.36,0.0,1,0,0,0,276.49,0.0,37.89
2026-04-17,6830,汎銓,TWSE,885.0,869.9841,1.73,315.24,38.64,0.0,38.64,12.26,0.0,1,0,0,0,38.64,0.0,37.8
2026-04-17,8089,康全電訊,TPEX,21.55,21.7727,-1.02,213.46,26.0,0.0,26.0,12.18,0.0,1,0,0,0,26.0,0.0,37.74
2026-04-17,5410,國眾,TPEX,32.4,32.5438,-0.44,337.19,41.0,0.0,41.0,12.16,0.0,1,0,0,0,41.0,0.0,37.73
2026-04-17,6761,穩得,TPEX,195.5,195.0397,0.24,784.05,95.1,0.0,95.1,12.13,0.0,1,0,0,0,95.1,0.0,37.7
