latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,confluence_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,total_score
2026-04-27,1463,強盛新,TWSE,20,17.95,17.588,2.06,3209.45,2136.43,0.0,2136.43,66.57,0.0,14,0,0,0,762.0,0.0,兆豐-忠孝,1956.0,17.69,國泰-館前,-1198.0,17.43,24.0,48.0,72.5,22.5,24.0,14.0,6.0,6.0,0.0,72.5,,,,,66.57,60.95,1.47,外資主導買超；前大買超分點約占成交 60.95%；收盤距區間均價 2.06%；收盤距分點均價 1.47%；連買：外14 / 投0,72.0
2026-04-27,2867,三商壽,TWSE,20,7.85,7.8099,0.51,197758.15,76294.92,0.0,76294.92,38.58,0.0,11,0,0,0,6439.28,0.0,港商野村,54613.0,7.86,台灣摩根士丹利,-10049.0,7.77,31.46,48.0,72.5,22.5,24.0,14.0,6.0,6.0,0.0,72.5,,,,,38.58,27.62,-0.13,外資主導買超；前大買超分點約占成交 27.62%；收盤距區間均價 0.51%；收盤距分點均價 -0.13%；連買：外11 / 投0,79.46
2026-04-27,1806,冠軍,TWSE,20,8.08,8.1794,-1.22,16397.78,9136.24,0.0,9136.24,55.72,0.0,1,0,0,0,9905.0,0.0,元大,10021.0,8.08,第一金-頭份,-10005.0,8.08,24.0,40.0,67.7,22.5,24.0,14.0,1.2,6.0,0.0,67.7,,,,,55.72,61.11,0.0,外資主導買超；前大買超分點約占成交 61.11%；收盤距區間均價 -1.22%；收盤距分點均價 0.0%；連買：外1 / 投0,64.0
2026-04-27,6491,晶碩,TWSE,20,286.5,287.4114,-0.32,7653.02,1330.3,42.0,1372.3,17.38,0.55,4,0,0,0,46.0,0.0,富邦-中壢,686.0,287.23,福邦,-439.0,293.23,17.89,47.37,66.06,22.5,10.76,14.0,4.8,14.0,0.0,66.06,,,,,17.93,8.96,-0.25,外資與投信同買；前大買超分點約占成交 8.96%；收盤距區間均價 -0.32%；收盤距分點均價 -0.25%；連買：外4 / 投0,65.26
2026-04-27,1203,味王,TWSE,20,43.1,41.9799,2.67,800.49,206.19,0.0,206.19,25.76,0.0,2,0,0,0,10.0,0.0,土銀-台中,141.0,41.23,合庫-自強,-53.0,41.3,27.83,42.0,66.04,22.5,21.14,14.0,2.4,6.0,0.0,66.04,,,,,25.76,17.61,4.54,外資主導買超；前大買超分點約占成交 17.61%；收盤距區間均價 2.67%；收盤距分點均價 4.54%；連買：外2 / 投0,69.83
2026-04-27,5538,東明-KY,TWSE,20,31.3,31.1682,0.42,622.59,170.0,0.0,170.0,27.3,0.0,14,0,0,0,1.0,0.0,群益金鼎-大甲,83.0,30.58,元大-台中中港,-149.0,31.32,16.0,48.0,64.5,22.5,16.0,14.0,6.0,6.0,0.0,64.5,,,,,27.3,13.33,2.35,外資主導買超；前大買超分點約占成交 13.33%；收盤距區間均價 0.42%；收盤距分點均價 2.35%；連買：外14 / 投0,64.0
2026-04-27,5007,三星,TWSE,20,58.0,57.2179,1.37,2008.83,322.47,9.0,331.47,16.05,0.45,1,0,0,0,12.0,0.0,台灣企銀-岡山,200.0,58.4,台新-台南,-48.0,59.36,20.75,41.12,63.65,22.5,11.95,14.0,1.2,14.0,0.0,63.65,,,,,16.5,9.96,-0.68,外資與投信同買；前大買超分點約占成交 9.96%；收盤距區間均價 1.37%；收盤距分點均價 -0.68%；連買：外1 / 投0,61.87
2026-04-27,2849,安泰銀,TWSE,20,13.8,13.626,1.28,2786.21,1278.46,0.0,1278.46,45.89,0.0,15,0,0,0,7.0,0.0,花旗環球,345.0,13.7,群益金鼎-敦南,-251.0,14.13,20.35,48.0,63.36,22.5,14.86,14.0,6.0,6.0,0.0,63.36,,,,,45.89,12.38,0.73,外資主導買超；前大買超分點約占成交 12.38%；收盤距區間均價 1.28%；收盤距分點均價 0.73%；連買：外15 / 投0,68.35
2026-04-27,2420,新巨,TWSE,20,55.0,54.184,1.51,6212.63,1193.86,3.51,1197.37,19.22,0.06,7,0,0,0,4.87,0.0,美商高盛,317.0,54.08,富邦-台北,-153.0,54.85,14.89,48.14,62.62,22.5,6.12,14.0,6.0,14.0,0.0,62.62,,,,,19.27,5.1,1.7,外資與投信同買；前大買超分點約占成交 5.1%；收盤距區間均價 1.51%；收盤距分點均價 1.7%；連買：外7 / 投0,63.03
2026-04-27,4572,駐龍,TWSE,20,146.0,143.2498,1.92,746.48,123.69,0.0,123.69,16.57,0.0,15,0,0,0,13.0,0.0,美商高盛,68.0,143.58,港商麥格理,-59.0,140.33,16.98,48.0,59.43,22.5,10.93,14.0,6.0,6.0,0.0,59.43,,,,,16.57,9.11,1.69,外資主導買超；前大買超分點約占成交 9.11%；收盤距區間均價 1.92%；收盤距分點均價 1.69%；連買：外15 / 投0,64.98
2026-04-27,6023,元大期,TPEX,20,98.5,97.9837,0.53,4062.0,670.09,232.0,902.09,16.5,5.71,0,7,0,0,-18.0,0.0,台灣摩根士丹利,278.0,97.97,兆豐-復興,-310.0,98.15,14.4,42.28,58.71,22.5,8.21,14.0,0.0,14.0,0.0,58.71,,,,,22.21,6.84,0.54,外資與投信同買；前大買超分點約占成交 6.84%；收盤距區間均價 0.53%；收盤距分點均價 0.54%,56.68
2026-04-27,1233,天仁,TWSE,20,28.8,29.0141,-0.74,300.6,63.11,0.0,63.11,20.99,0.0,2,0,0,0,5.0,0.0,凱基-台北,34.0,29.07,統一-南京,-30.0,29.11,18.58,42.0,58.47,22.5,13.57,14.0,2.4,6.0,0.0,58.47,,,,,20.99,11.31,-0.93,外資主導買超；前大買超分點約占成交 11.31%；收盤距區間均價 -0.74%；收盤距分點均價 -0.93%；連買：外2 / 投0,60.58
