as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,8,永豐金-匯立,9A81,1921.0,8580.0,6659.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,9,香港上海匯豐,8960,3125.0,937.0,2188.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,9,群益金鼎,9100,8304.0,13633.0,5329.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,10,永豐金-敦南,9A8F,2672.0,793.0,1879.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,10,美商高盛,1480,74778.0,79768.0,4990.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,1,美商高盛,1480,2237.0,1619.0,618.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,1,統一,5850,170.0,809.0,639.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,2,台灣摩根士丹利,1470,2286.0,1885.0,401.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,2,國泰證券,8880,71.0,611.0,540.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,3,港商野村,1560,447.0,161.0,286.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,3,花旗環球,1590,149.0,658.0,509.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,4,港商麥格理,1360,293.0,65.0,228.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,4,永豐金-匯立,9A81,46.0,279.0,233.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,5,新加坡商瑞銀,1650,1167.0,998.0,169.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,5,中國信託,6160,145.0,358.0,213.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,6,凱基,9200,312.0,163.0,149.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,sell,6,富邦證券,9600,301.0,505.0,204.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,6196,帆宣,buy,7,第一金,5380,125.0,54.0,71.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=6196&e=2026-6-16&f=2026-7-15
