latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-15,1459,聯發,TWSE,20,11.8,11.8372,-0.31,3637.73,186.07,181.89,250.42,1.02,1.38,6.3,放量,177.79,0.0,177.79,4.89,0.0,1,0,0,0,1.0,0.0,兆豐-大同,542.0,11.88,玉山-左營,-145.0,11.76,25.89,21.68,-66,0,1.81,17.46,已取得,46.41,63.87,7.33,17.88,14.0,1.2,6.0,-6.03,17.46,2026-04,-5.57,-3.67,-29.36,4.89,14.9,-0.67,外資主導買超；前大買超分點約占成交 14.9%；收盤距區間均價 -0.31%；收盤距分點均價 -0.67%；連買：外1 / 投0；營收 2026-04，月增 -5.57%，年增 -3.67%，累計年增 -29.36%,外資買超；融資下降；放量；營收 2026-04，月增 -5.57%，年增 -3.67%，累計年增 -29.36%,17.46
2026-05-15,1413,宏洲,TWSE,20,9.45,9.6041,-1.6,475.75,20.18,23.79,27.98,0.85,1.18,1.0,正常,44.2,0.0,44.2,9.29,0.0,0,4,0,0,-4.0,0.0,永豐金-復興,81.0,9.66,新光-台中,-44.0,9.59,25.81,24.01,0,0,0.0,23.08,已取得,54.37,77.45,13.93,20.43,14.0,0.0,6.0,-0.93,23.08,2026-04,19.53,-0.58,-19.79,9.29,17.03,-2.17,外資主導買超；前大買超分點約占成交 17.03%；收盤距區間均價 -1.6%；收盤距分點均價 -2.17%；營收 2026-04，月增 19.53%，年增 -0.58%，累計年增 -19.79%,外資買超；營收 2026-04，月增 19.53%，年增 -0.58%，累計年增 -19.79%,23.08
2026-05-15,8349,恒耀,TPEX,20,41.4,44.838,-7.67,6120.0,132.0,306.0,174.0,0.43,0.57,-12.0,量縮,-1001.81,0.0,-1001.81,-16.37,0.0,0,14,0,0,-46.0,0.0,永豐金-台南,2391.0,45.07,摩根大通,-305.0,44.69,25.51,-42.0,48,0,-0.63,-42.47,已取得,0.0,-42.47,0.0,0.0,0.0,0.0,0.0,0.16,-42.47,2026-04,-4.56,2.34,1.79,,,,營收 2026-04，月增 -4.56%，年增 2.34%，累計年增 1.79%,融資增加；營收 2026-04，月增 -4.56%，年增 2.34%，累計年增 1.79%,-42.47
2026-05-15,8342,益張,TPEX,20,89.8,90.5778,-0.86,63.0,4.0,3.15,8.0,1.27,2.54,24.24,放量,3.0,0.0,3.0,4.76,0.0,0,1,0,0,-2.0,0.0,兆豐-員林,11.0,91.95,元大-成功,-7.0,89.44,25.4,17.33,-1,0,1.59,21.52,已取得,48.1,69.62,7.14,20.95,14.0,0.0,6.0,2.6,21.52,2026-04,9.33,5.85,2.64,4.76,17.46,-2.34,外資主導買超；前大買超分點約占成交 17.46%；收盤距區間均價 -0.86%；收盤距分點均價 -2.34%；營收 2026-04，月增 9.33%，年增 5.85%，累計年增 2.64%,外資買超；融資下降；放量；營收 2026-04，月增 9.33%，年增 5.85%，累計年增 2.64%,21.52
2026-05-15,1537,廣隆,TWSE,20,125.5,123.9729,1.23,2105.9,112.48,105.3,166.83,1.07,1.58,10.17,放量,43.24,-1.0,42.24,2.05,-0.05,2,0,0,0,1.0,0.0,華南永昌-竹北,288.0,125.45,摩根大通,-56.0,124.01,25.08,15.59,1,0,-0.04,13.91,已取得,41.82,55.73,3.01,16.41,14.0,2.4,6.0,-1.64,13.91,2026-04,4.94,-8.96,-3.89,2.01,13.68,0.04,外資主導買超；前大買超分點約占成交 13.68%；收盤距區間均價 1.23%；收盤距分點均價 0.04%；連買：外2 / 投0；營收 2026-04，月增 4.94%，年增 -8.96%，累計年增 -3.89%,外資買超；融資增加；放量；營收 2026-04，月增 4.94%，年增 -8.96%，累計年增 -3.89%,13.91
2026-05-15,1472,三洋實業,TWSE,20,89.6,92.9637,-3.62,451.58,4.08,22.58,11.31,0.18,0.5,-12.0,量縮,-9.52,0.0,-9.52,-2.11,0.0,0,0,0,0,0.0,0.0,台新-高雄,131.0,95.17,元大-高雄,-27.0,90.76,25.01,-5.9,-53,0,8.0,4.57,已取得,0.0,4.57,0.0,0.0,0.0,0.0,0.0,2.47,4.57,2026-04,35.42,-8.15,-1.93,,,,營收 2026-04，月增 35.42%，年增 -8.15%，累計年增 -1.93%,融資下降；營收 2026-04，月增 35.42%，年增 -8.15%，累計年增 -1.93%,4.57
2026-05-15,1525,江申,TWSE,20,59.7,60.967,-2.08,661.34,101.89,33.07,45.79,3.08,1.38,24.16,強放量,-36.25,0.0,-36.25,-5.48,0.0,0,2,0,0,-19.0,0.0,統一-台中,181.0,61.56,台新-建北,-41.0,60.62,24.9,-19.35,8,0,-0.97,-18.99,已取得,0.0,-18.99,0.0,0.0,0.0,0.0,0.0,1.33,-18.99,2026-04,1.34,4.35,2.44,,,,營收 2026-04，月增 1.34%，年增 4.35%，累計年增 2.44%,融資增加；強放量；營收 2026-04，月增 1.34%，年增 4.35%，累計年增 2.44%,-18.99
2026-05-15,1805,寶徠,TWSE,20,10.15,10.552,-3.81,2446.36,115.27,122.32,144.33,0.94,1.18,2.19,正常,-133.72,0.0,-133.72,-5.47,0.0,0,5,0,0,-6.0,0.0,合庫,755.0,10.54,台灣摩根士丹利,-158.0,10.48,24.77,-25.3,260,0,-6.4,-38.94,已取得,0.0,-38.94,0.0,0.0,0.0,0.0,0.0,-7.24,-38.94,2026-04,-99.89,-98.6,7.26,,,,營收 2026-04，月增 -99.89%，年增 -98.6%，累計年增 7.26%,融資增加；營收 2026-04，月增 -99.89%，年增 -98.6%，累計年增 7.26%,-38.94
2026-05-15,2107,厚生,TWSE,20,25.2,25.9641,-2.94,7715.35,507.73,385.77,455.23,1.32,1.18,6.68,正常,-190.39,0.0,-190.39,-2.47,0.0,0,4,0,0,-283.89,0.0,群益金鼎-海山,2851.0,26.04,元大-左營,-520.0,25.4,24.63,-14.91,-76,0,0.99,-17.24,已取得,0.0,-17.24,0.0,0.0,0.0,0.0,0.0,-3.32,-17.24,2026-04,-16.35,3.48,-12.4,,,,營收 2026-04，月增 -16.35%，年增 3.48%，累計年增 -12.4%,融資下降；營收 2026-04，月增 -16.35%，年增 3.48%，累計年增 -12.4%,-17.24
2026-05-15,1233,天仁,TWSE,20,28.8,28.8512,-0.18,474.32,30.02,23.72,23.74,1.27,1.0,6.21,正常,51.71,0.0,51.71,10.9,0.0,0,4,0,0,-2.0,0.0,台新-城中,223.0,28.83,元大-六合,-96.0,28.88,24.0,26.72,-4,0,0.84,28.46,已取得,60.35,88.81,16.35,24.0,14.0,0.0,6.0,0.9,28.46,2026-04,-1.37,2.59,3.76,10.9,47.02,-0.1,外資主導買超；前大買超分點約占成交 47.02%；收盤距區間均價 -0.18%；收盤距分點均價 -0.1%；營收 2026-04，月增 -1.37%，年增 2.59%，累計年增 3.76%,外資買超；融資下降；營收 2026-04，月增 -1.37%，年增 2.59%，累計年增 3.76%,28.46
